,NodeID,x,y,z,NodeType
0,584_-1_1,114.04611270210127,22.53125697976783,-0.9084530577716334,
0,1_-1_209,114.04657537767548,22.53125524203276,-0.9108405572123215,
0,584_1_1,114.04610774344606,22.531510395170717,-0.8435313507691123,
0,209_1_1,114.04657063829856,22.53152592884482,-0.8414971674375119,
0,186_-1_62,114.04462764706543,22.531217306369843,-0.9091366436331209,
0,62_-1_259,114.0448623936201,22.53123036744767,-0.9074225012808504,
0,186_1_62,114.04460993826882,22.531464835223435,-0.845630341511642,
0,259_1_62,114.0448484136417,22.531478102199813,-0.8438919671573415,
0,85_-1_186,114.04430713556026,22.531206724809305,-0.9089102492146308,
0,186_1_85,114.04428791002248,22.53143155800926,-0.8512013814463317,
0,186_1_85,114.0399470201439,22.52856261785746,-1.5262318334334852,
0,186_1_85,114.03560630866818,22.525693559038142,-2.154103454646544,
0,186_1_85,114.03126577563413,22.52282438161524,-2.7348162040726534,
0,186_1_85,114.02692542108053,22.51995508565271,-3.268370056888635,
0,186_1_85,114.02258524504622,22.517085671214502,-3.75476498616424,
0,186_1_85,114.01824524757,22.51421613836456,-4.194000960047255,
0,186_1_85,114.01390542869062,22.511346487166843,-4.586077954430454,
0,186_1_85,114.00956578844686,22.508476717685323,-4.930995941692063,
0,85_1_186,114.04428755673551,22.531435689519494,-0.8501400073246924,
0,209_-1_234,114.04685108188482,22.531259399864016,-0.9109778758174844,
0,1_1_209,114.04657063836149,22.531525925251593,-0.8414980893116736,
0,234_1_209,114.04684636377311,22.531530464567076,-0.8415376892483248,
0,234_-1_6953,114.04735531363151,22.531268041759485,-0.910635145813769,
0,209_1_234,114.04684636377311,22.531530464567076,-0.8415376892483248,
0,6953_1_234,114.04735079653449,22.531538901191322,-0.8412476707063213,
0,259_-1_560,114.04524221831693,22.53124125256061,-0.9073008677706123,
0,62_1_259,114.04484841624004,22.531478056155375,-0.8439037868507545,
0,560_1_259,114.04523494369856,22.531494339929772,-0.8424479621411815,
0,282_-1_385,114.04480068088832,22.53026838735215,6.846299108238465,
0,385_1_282,114.04461616480536,22.53024565641893,6.841949725188413,
0,385_1_282,114.04104961855849,22.526832694383355,12.023859249338575,
0,77_-1_307,114.0446627050731,22.532462190543818,-0.5889962254435473,
0,307_-1_367,114.04466068798594,22.532572752150138,6.995087188176118,
0,77_1_307,114.0444480893521,22.532462313181522,-0.5872559954079116,
0,367_1_307,114.04444992962146,22.5325720314814,6.996578875096791,
0,367_-1_8567,114.04465254962783,22.53290306976398,8.815824831691247,
0,307_1_367,114.04444992970157,22.53257219069607,-0.5588926333774068,
0,8567_1_367,114.04444871655114,22.532896752540367,8.81581293013335,
0,560_-1_584,114.04551945877522,22.53123988035176,-0.9094418876046686,
0,259_1_560,114.04523494369856,22.531494339929772,-0.8424479621411815,
0,584_1_560,114.04551427291543,22.531500060185056,-0.8427885097389167,
0,560_1_584,114.04551427291543,22.531500060185056,-0.8427885097389167,
0,1078_-1_698,114.04448509033185,22.54010317831862,1.4415458904671894,
0,698_-1_711,114.0444678660822,22.541220073426043,1.7477464656641437,
0,1078_1_698,114.0443556519047,22.540102685558196,1.4424708219789555,
0,711_1_698,114.04433843935217,22.54121831680731,1.7483262547976919,
0,711_-1_762,114.04444999024076,22.54334172048885,2.3358753759413866,
0,124_-1_1078,114.04448560595098,22.539938956975657,1.3967282686196492,
0,124_1_1078,114.04435616683726,22.539938721396624,1.3977233653908914,
0,1268_-1_1311,114.05197783710697,22.535254415210016,0.1268888093980939,
0,1311_-1_1335,114.05223533018662,22.535253639374265,0.12771441716223508,
0,1268_1_1311,114.05204557506752,22.535387980182787,0.16240954315917444,
0,1335_1_1311,114.05221454303799,22.535393353632237,0.164457410491268,
0,1311_1_1335,114.05221454302206,22.535393353739376,0.1644574400475577,
0,1388_-1_1363,114.05412459068681,22.535284647475596,0.1480314171299884,
0,1363_-1_1414,114.05440415849473,22.535288491294324,0.15055473322478116,
0,1388_1_1363,114.05412140120177,22.535436380858066,0.18802854994894275,
0,1414_1_1363,114.05439960677109,22.53544050412747,0.190613844934853,
0,4086_-1_1388,114.05397051080828,22.53527673611694,0.1449664707647444,
0,4086_1_1388,114.05396747894443,22.535420963392912,0.18298250591201223,
0,1414_-1_12145,114.05449613328872,22.535281833919928,0.15009378949049626,
0,1363_1_1414,114.05439996212866,22.53542863634683,0.1874847852429087,
0,12145_1_1414,114.05449296290043,22.535430039355326,0.18915724617626528,
0,1437_-1_1463,114.05391226379224,22.53736906108446,0.6994453807334944,
0,1463_1_1437,114.05390946976522,22.537546412251103,0.7469226766692155,
0,1463_-1_12393,114.05413786950724,22.537372126996516,0.7023046688973551,
0,1437_1_1463,114.05390946976522,22.537546412251107,0.7469226766692155,
0,12393_1_1463,114.054135126316,22.537545561184764,0.7487326381232187,
0,1486_-1_1532,114.05202758563001,22.537343390843603,0.681978714452481,
0,1532_-1_5442,114.05225657638336,22.537333688528225,0.6804765428718413,
0,1486_1_1532,114.05202342329656,22.537486403068968,0.7202501422389003,
0,5442_1_1532,114.05225274924045,22.537493369955744,0.7232105714985663,
0,460_-1_1583,114.05182655582831,22.539460868275192,1.2516348258439252,
0,460_1_1583,114.05182685824816,22.539507729683706,1.2643701133640193,
0,1601_-1_12605,114.05384564398807,22.539484198595396,1.2691031876175263,
0,12605_1_1601,114.05384455490463,22.539547402777757,1.2862739119180566,
